Date,Name,Training,Status
25/08/2022,Kaci Braun,Hand hygiene,Complete
13/03/2022,Elina Keller,Hand hygiene,Incomplete
09/03/2022,Kyla Sparks,Hand hygiene,Unknown
10/03/2022,Kyla Sparks,IV care,Unknown
08/02/2022,Kayden Orozco,Hand hygiene,Completed
02/04/2022,Kayden Orozco,IV care,Unknown
05/02/2022,Kendrick Gill,IV care,Incomplete
02/08/2022,Kayden Orozco,Information governance,Unknown
14/03/2022,Lynda Howells,Hand hygiene,Incomplete
06/03/2022,Isha Lam,Hand hygiene,Completed
23/07/2022,Kyla Sparks,Information governance,Completed
22/06/2022,Vinnie Krueger,Hand hygiene,Complete
11/03/2022,Kendrick Gill,Hand hygiene,Incomplete
30/05/2022,Myrtle Hoffman,Information governance,Unknown
10/03/2022,Shantelle Whiteley,IV care,Completed
01/02/2022,Kaci Braun,Information governance,Complete
26/03/2022,Elina Keller,Information governance,Unknown
24/02/2022,Kendrick Gill,Hand hygiene,Completed
20/02/2022,Kendrick Gill,IV care,Completed
04/06/2022,Tadhg Faulkner,Hand hygiene,Completed
04/02/2022,Kyla Sparks,Hand hygiene,Incomplete
29/08/2022,Lynda Howells,Information governance,Unknown
13/01/2022,Isha Lam,IV care,Complete
17/01/2022,Elina Keller,Information governance,Incomplete
16/02/2022,Tadhg Faulkner,Information governance,Incomplete
13/03/2022,Myrtle Hoffman,Information governance,Completed
31/08/2022,Tadhg Faulkner,Information governance,Unknown
22/05/2022,Kayden Orozco,Hand hygiene,Unknown
05/06/2022,Vinnie Krueger,Information governance,Complete
11/02/2022,Kendrick Gill,Information governance,Incomplete
15/04/2022,Isha Lam,IV care,Unknown
25/01/2022,Isha Lam,IV care,Complete
01/03/2022,Vinnie Krueger,IV care,Unknown
01/08/2022,Kendrick Gill,Information governance,Complete
28/08/2022,Myrtle Hoffman,IV care,Unknown
12/05/2022,Vinnie Krueger,Information governance,Incomplete
01/03/2022,Tadhg Faulkner,Information governance,Incomplete
10/02/2022,Isha Lam,Information governance,Unknown
18/03/2022,Kendrick Gill,Hand hygiene,Unknown
08/07/2022,Kendrick Gill,IV care,Unknown
04/08/2022,Shantelle Whiteley,Hand hygiene,Complete
09/07/2022,Isha Lam,Hand hygiene,Complete
28/08/2022,Myrtle Hoffman,Information governance,Complete
03/03/2022,Kendrick Gill,IV care,Unknown
28/01/2022,Bill Cantu,IV care,Incomplete
11/04/2022,Kendrick Gill,Information governance,Unknown
24/03/2022,Kendrick Gill,Hand hygiene,Unknown
08/08/2022,Myrtle Hoffman,Information governance,Completed
23/04/2022,Bill Cantu,Information governance,Completed
28/01/2022,Bill Cantu,Information governance,Complete


